Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,IDA total,IDA,2033302006176.19
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Late-demographic dividend,LTE,16852237859441.4
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Latin America & Caribbean,LCN,4310991786958.73
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Latin America & Caribbean (excluding high income),LAC,3719626609667.21
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Latin America & the Caribbean (IDA & IBRD countries),TLA,4158080150819.68
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Least developed countries: UN classification,LDC,995978009001.136
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Low & middle income,LMY,24513085041279.5
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Low income,LIC,454242662007.14
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Lower middle income,LMC,6420555021073.67
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Middle East & North Africa,MEA,2714204341715.7
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Middle East & North Africa (excluding high income),MNA,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Middle East & North Africa (IDA & IBRD countries),TMN,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Middle income,MIC,24055090188603
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,North America,NAC,17681900443302.7
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Not classified,INX,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,OECD members,OED,40402290786465.8
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Other small states,OSS,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Pacific island small states,PSS,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Post-demographic dividend,PST,38033058294689.3
